,words,counts
713,~,1
714,ऊँचा,1
715,झण्डा,1
716,तिरंगा,1
717,प्यारा,1
737,🇻🇳,1
738,🌊,1
739,🌊Admiring,1
765,😍🌉If,1
759,"📍Sissu,",1
760,📝,1
5,#Jaipur,1
762,📽,1
4,#HimalayasStatue,1
764,😍,1
3,#Friends,1
757,📍Laitlum,1
767,😍💞#reels,1
768,😍😍,1
769,😍🙌🏼,1
770,😬,1
2,#Canada,1
772,🤩,1
758,"📍Nainital,",1
756,📍Korigad,1
8,#Maharashtra,1
7,#Kerala,1
741,🎥,1
742,🎥@surbhi_rathore5826,1
743,🎥@thetravelingwhitesBeautiful,1
744,🎶,1
745,🏰🏛🕍🛕Imagine,1
746,💖,1
748,💦,1
755,"📍Khela,",1
749,💪🏻,1
6,#Karnataka,1
751,📍Barachukki,1
752,"📍Bhairavgad,",1
753,📍Dudhsagar,1
754,📍Goram,1
701,witness,1
17,#adventuretimePhoto,1
19,#australiaBahamas,1
33,#dreamhouse,1
646,them,1
647,then,1
648,there,1
35,#driving,1
34,#dreamplace,1
651,this?,1
32,#dosti,1
643,taught,1
654,"time,",1
31,#diwaliFull,1
656,tourist,1
657,tourists,1
658,town,1
659,trail,1
36,#earthpix,1
642,takes,1
661,trees,1
633,strength,1
627,soul,1
628,source,1
483,gifts,1
630,spot,1
631,spots,1
632,stood,1
634,struggling,1
641,taken?,1
635,summit,1
40,#friendship,1
637,sunsets,1
638,surrounded,1
639,tag,1
39,#fall,1
660,travel,1
662,trek,1
698,wife!,1
690,were,1
684,waterfalls,1
685,way,1
25,#canada,1
687,we'll,1
688,we're,1
689,well,1
24,#bestfriends,1
682,water,1
692,whatsapp,1
23,#beautifulshimla,1
21,#banffFinally,1
695,which,1
20,#autumn,1
697,whom,1
683,waterfall,1
681,waste,1
663,tried,1
670,up,1
30,#discoverindiamagazine,1
665,"trip,",1
666,troubles,1
667,truly,1
668,tune,1
669,two,1
671,ups,1
26,#chhoriionroad,1
673,use,1
674,"valley,",1
676,visible,1
677,visiting,1
678,waking,1
679,want,1
83,#indiantravellerWhere,1
479,full,1
482,"ghat,",1
257,Fall,1
159,-20c,1
278,Indian,1
279,Introducing,1
280,It,1
281,It’s,1
282,Jaipur,1
283,"Jaipur,",1
284,Jammu,1
157,",",1
286,Join,1
287,Kachhwaha,1
288,Kala,1
289,"Karnataka,",1
290,"Kashmir,",1
291,Khasi,1
276,If,1
160,10/10,1
274,Hot,1
164,19,1
168,3,1
167,26,1
166,20,1
165,2,1
263,Fort,1
264,French,1
266,Gates,1
161,13,1
267,"Goa,",1
163,160,1
269,HASTAG,1
270,HP,1
162,150-meter,1
272,Have,1
292,Khublei,1
293,Lahaul,1
294,Laitlum,1
144,#tripotocommunityindia,1
150,#whitegold,1
149,#whatsuprajasthan,1
317,October,1
318,Of,1
322,Patthar,1
145,#village,1
142,#trending❤️,1
313,Nahargarh,1
326,Pradesh,1
327,"Pradesh,",1
328,Proposal,1
329,Pumori,1
330,"Pune,",1
331,"Rajasthan,",1
314,"Nang,",1
312,Mullaloo,1
295,"Lake,",1
